,,,TA_1m,,RH_1m,,DP_1m,,PA_1m,,SR_1m,,PRMeasQMR102_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,
date,time,status,Avg,status,Avg,status,DP,status,Avg,status,Avg,status,PR,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,SpdAvg,status,SpdMax,status,SpdMin,status,DirAvg,status,DirMax,status,DirMin,
2010-07-29, 00:00:04,VALID,8.42217,VALID,86.815,VALID,6.35095,VALID,1016.94,VALID,-1,VALID,0,VALID,0,INVALID,0,VALID,0,VALID,1.90586,VALID,2.10156,VALID,1.60156,VALID,225,VALID,230,VALID,216,
2010-07-29, 00:01:04,VALID,8.38371,VALID,86.932,VALID,6.33268,VALID,1016.96,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,1.93906,VALID,2.10156,VALID,1.70313,VALID,227,VALID,230,VALID,223,
2010-07-29, 00:02:04,VALID,8.35138,VALID,87.199,VALID,6.34543,VALID,1016.96,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.01172,VALID,2.20313,VALID,1.89844,VALID,228,VALID,232,VALID,222,
2010-07-29, 00:03:04,VALID,8.32882,VALID,87.2448,VALID,6.33085,VALID,1016.99,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.03516,VALID,2.10156,VALID,1.70313,VALID,229,VALID,233,VALID,226,
2010-07-29, 00:04:04,VALID,8.26676,VALID,87.0731,VALID,6.24118,VALID,1016.99,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,1.9375,VALID,2.10156,VALID,1.79688,VALID,227,VALID,230,VALID,226,
2010-07-29, 00:05:04,VALID,8.19617,VALID,87.0935,VALID,6.17512,VALID,1017.02,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,1.88164,VALID,2,VALID,1.70313,VALID,227,VALID,230,VALID,226,
2010-07-29, 00:06:04,VALID,8.13163,VALID,87.5932,VALID,6.19459,VALID,1017.02,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,1.82227,VALID,2,VALID,1.39844,VALID,226,VALID,231,VALID,212,
2010-07-29, 00:07:04,VALID,8.08662,VALID,88.0828,VALID,6.23115,VALID,1017.02,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,1.66836,VALID,2.10156,VALID,1.39844,VALID,223,VALID,231,VALID,215,
2010-07-29, 00:08:04,VALID,8.05117,VALID,88.4414,VALID,6.25519,VALID,1017.03,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,1.5543,VALID,2,VALID,1.20313,VALID,223,VALID,230,VALID,215,
2010-07-29, 00:09:04,VALID,8.03506,VALID,88.7962,VALID,6.29743,VALID,1017.03,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,1.49492,VALID,1.79688,VALID,1.20313,VALID,221,VALID,230,VALID,215,
