,,,TA_1m,,RH_1m,,DP_1m,,PA_1m,,SR_1m,,PRMeasQMR102_1,,PR_Slide_Sum,,PR_Sum1h,,PR_Sum1h,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,,GenWind_1m,
date,time,status,Avg,status,Avg,status,DP,status,Avg,status,Avg,status,PR,status,PR_Slide_Sum1h,status,PR_Sum1h_CurrHour,status,PR_Sum1h_PrevHour,status,SpdAvg,status,SpdMax,status,SpdMin,status,DirAvg,status,DirMax,status,DirMin,
2010-08-03, 00:00:05,VALID,0.957031,VALID,84.8682,VALID,-1.30354,VALID,1030.75,VALID,-1,VALID,0,VALID,0,INVALID,0,VALID,0,VALID,2.96289,VALID,3.20313,VALID,2.60156,VALID,170,VALID,175,VALID,165,
2010-08-03, 00:01:05,VALID,0.915209,VALID,85.0106,VALID,-1.32171,VALID,1030.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.96133,VALID,3.20313,VALID,2.5,VALID,169,VALID,177,VALID,163,
2010-08-03, 00:02:05,VALID,0.883091,VALID,85.1899,VALID,-1.32449,VALID,1030.76,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.99766,VALID,3.29688,VALID,2.70313,VALID,166,VALID,171,VALID,160,
2010-08-03, 00:03:05,VALID,0.844476,VALID,85.4162,VALID,-1.3262,VALID,1030.76,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.12695,VALID,3.39844,VALID,2.79688,VALID,162,VALID,167,VALID,160,
2010-08-03, 00:04:05,VALID,0.831627,VALID,85.6095,VALID,-1.30798,VALID,1030.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.12734,VALID,3.39844,VALID,2.89844,VALID,160,VALID,163,VALID,157,
2010-08-03, 00:05:05,VALID,0.870274,VALID,85.8854,VALID,-1.22606,VALID,1030.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.1957,VALID,3.39844,VALID,3,VALID,160,VALID,163,VALID,157,
2010-08-03, 00:06:05,VALID,0.937775,VALID,85.9032,VALID,-1.15688,VALID,1030.81,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.23594,VALID,3.79688,VALID,2.79688,VALID,159,VALID,163,VALID,153,
2010-08-03, 00:07:05,VALID,1.03749,VALID,85.6515,VALID,-1.099,VALID,1030.83,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.3168,VALID,4,VALID,2.79688,VALID,158,VALID,165,VALID,150,
2010-08-03, 00:08:05,VALID,1.12106,VALID,85.1059,VALID,-1.10429,VALID,1030.85,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.47656,VALID,3.89844,VALID,2.79688,VALID,160,VALID,165,VALID,154,
2010-08-03, 00:09:05,VALID,1.16289,VALID,84.4968,VALID,-1.16142,VALID,1030.84,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.43477,VALID,3.60156,VALID,3.10156,VALID,159,VALID,162,VALID,157,
2010-08-03, 00:10:05,VALID,1.16283,VALID,84.2336,VALID,-1.20411,VALID,1030.82,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.33828,VALID,3.5,VALID,3,VALID,158,VALID,161,VALID,155,
2010-08-03, 00:11:05,VALID,1.17889,VALID,84.3074,VALID,-1.1764,VALID,1030.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.13828,VALID,3.39844,VALID,3,VALID,157,VALID,157,VALID,153,
2010-08-03, 00:12:05,VALID,1.22074,VALID,84.2959,VALID,-1.13721,VALID,1030.76,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.26211,VALID,3.39844,VALID,3,VALID,152,VALID,157,VALID,149,
2010-08-03, 00:13:05,VALID,1.28502,VALID,84.3697,VALID,-1.0622,VALID,1030.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.11016,VALID,3.5,VALID,2.70313,VALID,151,VALID,155,VALID,146,
2010-08-03, 00:14:05,VALID,1.39758,VALID,84.0632,VALID,-1.00161,VALID,1030.79,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.08672,VALID,3.5,VALID,2.70313,VALID,150,VALID,158,VALID,145,
2010-08-03, 00:15:05,VALID,1.47801,VALID,83.4796,VALID,-1.01812,VALID,1030.8,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.9918,VALID,3.39844,VALID,2.60156,VALID,153,VALID,158,VALID,149,
2010-08-03, 00:16:05,VALID,1.4973,VALID,83.0472,VALID,-1.07025,VALID,1030.8,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.81406,VALID,3.20313,VALID,2.5,VALID,156,VALID,161,VALID,151,
2010-08-03, 00:17:05,VALID,1.50058,VALID,82.9162,VALID,-1.08863,VALID,1030.79,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.62109,VALID,2.79688,VALID,2.20313,VALID,155,VALID,159,VALID,150,
2010-08-03, 00:18:05,VALID,1.44258,VALID,82.9061,VALID,-1.14708,VALID,1030.79,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.43633,VALID,2.70313,VALID,2.10156,VALID,152,VALID,158,VALID,145,
2010-08-03, 00:19:05,VALID,1.42655,VALID,83.079,VALID,-1.13429,VALID,1030.77,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.28125,VALID,2.70313,VALID,1.89844,VALID,151,VALID,156,VALID,147,
2010-08-03, 00:20:05,VALID,1.40402,VALID,83.2748,VALID,-1.12417,VALID,1030.78,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.22773,VALID,2.5,VALID,1.89844,VALID,150,VALID,156,VALID,145,
2010-08-03, 00:21:05,VALID,1.40404,VALID,83.285,VALID,-1.12248,VALID,1030.81,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.24492,VALID,2.70313,VALID,1.89844,VALID,149,VALID,155,VALID,143,
2010-08-03, 00:22:05,VALID,1.37828,VALID,83.2939,VALID,-1.14625,VALID,1030.82,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.15117,VALID,2.39844,VALID,1.70313,VALID,150,VALID,157,VALID,142,
2010-08-03, 00:23:05,VALID,1.3655,VALID,83.4236,VALID,-1.1375,VALID,1030.83,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.00664,VALID,2.5,VALID,1.70313,VALID,152,VALID,161,VALID,143,
2010-08-03, 00:24:05,VALID,1.34616,VALID,83.5304,VALID,-1.13896,VALID,1030.82,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.23984,VALID,2.60156,VALID,1.89844,VALID,159,VALID,168,VALID,150,
2010-08-03, 00:25:05,VALID,1.33324,VALID,83.7161,VALID,-1.12127,VALID,1030.81,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.35469,VALID,2.79688,VALID,2,VALID,159,VALID,164,VALID,153,
2010-08-03, 00:26:05,VALID,1.32686,VALID,83.7542,VALID,-1.12129,VALID,1030.81,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.60938,VALID,3,VALID,2,VALID,156,VALID,165,VALID,149,
2010-08-03, 00:27:05,VALID,1.31402,VALID,83.828,VALID,-1.12185,VALID,1030.82,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,2.81758,VALID,3.20313,VALID,2.29688,VALID,152,VALID,161,VALID,146,
2010-08-03, 00:28:05,VALID,1.31718,VALID,83.8547,VALID,-1.11439,VALID,1030.82,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.03555,VALID,3.29688,VALID,2.70313,VALID,151,VALID,154,VALID,146,
2010-08-03, 00:29:05,VALID,1.33648,VALID,83.6423,VALID,-1.13015,VALID,1030.81,VALID,-1,VALID,0,VALID,0,VALID,0,VALID,0,VALID,3.11875,VALID,3.70313,VALID,2.60156,VALID,151,VALID,158,VALID,146,
